list_1.csv: 3
list_2.csv: 1
list_3.csv: 2
list_4.csv: 3
list_5.csv: 3
list_6.csv: 3
list_7.csv: 3
list_8.csv: 3
list_9.csv: 3
list_10.csv: 2
list_11.csv: 3
list_12.csv: 3
list_13.csv: 1
list_14.csv: 2
list_15.csv: 3
list_16.csv: 3
list_17.csv: 3
list_18.csv: 2
list_19.csv: 3
list_20.csv: 3
list_21.csv: 3
list_22.csv: 3
list_23.csv: 3
list_24.csv: 3
list_25.csv: 3
list_26.csv: 1
list_27.csv: 2
list_28.csv: 3
list_29.csv: 3
list_30.csv: 3
list_31.csv: 2
list_32.csv: 2
list_33.csv: 3
list_34.csv: 3
list_35.csv: 3
list_36.csv: 3
list_37.csv: 3
list_38.csv: 3
list_39.csv: 3
list_40.csv: 3
list_41.csv: 3
list_42.csv: 3
list_43.csv: 1
list_44.csv: 3
list_45.csv: 3
list_46.csv: 3
list_47.csv: 3
list_48.csv: 3
list_49.csv: 3
list_50.csv: 3
list_51.csv: 3
list_52.csv: 3
list_53.csv: 1
list_54.csv: 3
list_55.csv: 3
list_56.csv: 3
list_57.csv: 3
list_58.csv: 3
list_59.csv: 3
list_60.csv: 2
list_61.csv: 3
list_62.csv: 3
list_63.csv: 2
list_64.csv: 0
list_65.csv: 1
list_66.csv: 3
list_67.csv: 2
list_68.csv: 3
list_69.csv: 3
list_70.csv: 3
list_71.csv: 3
list_72.csv: 3
list_73.csv: 3
list_74.csv: 3
list_75.csv: 3
list_76.csv: 3
list_77.csv: 1
list_78.csv: 3
list_79.csv: 3
list_80.csv: 3
list_81.csv: 2
list_82.csv: 2
list_83.csv: 3
list_84.csv: 3
list_85.csv: 3
list_86.csv: 3
list_87.csv: 3
list_88.csv: 3
list_89.csv: 3
list_90.csv: 3
list_91.csv: 3
list_92.csv: 2
list_93.csv: 3
list_94.csv: 3
list_95.csv: 3
list_96.csv: 3
list_97.csv: 2
list_98.csv: 3
list_99.csv: 2
list_100.csv: 3
list_101.csv: 3
list_102.csv: 3
list_103.csv: 3
list_104.csv: 2
list_105.csv: 3
list_106.csv: 3
list_107.csv: 2
list_108.csv: 3
list_109.csv: 3
list_110.csv: 3
list_111.csv: 3
list_112.csv: 3
list_113.csv: 3
list_114.csv: 3
